Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.786357,17.070,16.672,0.250,1.805,15.952
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.786617,33.367,33.356,0.068,1.727,15.695
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.773033,33.224,33.354,0.108,5.150,29.294
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.772874,33.301,33.354,0.112,5.120,29.453
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.819761,33.404,33.364,0.215,1.784,15.911
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.819986,33.369,33.364,0.073,1.629,15.690
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.806288,33.255,33.367,0.127,5.170,29.406
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.806129,33.255,33.367,0.113,5.146,29.566
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.853032,33.271,33.364,0.229,1.653,16.004
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.853266,33.280,33.365,0.050,1.493,15.774
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.840022,33.734,33.367,0.129,5.157,29.039
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.839876,33.746,33.367,0.102,5.135,29.187
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.869416,16.384,16.683,0.176,2.309,16.303
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.886441,17.025,16.677,0.204,1.766,15.955
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.886649,33.383,33.360,0.052,1.627,15.751
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.873095,33.073,33.362,0.163,3.907,29.328
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.872947,33.071,33.362,0.102,3.863,29.478
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.919798,33.356,33.363,0.249,1.622,15.961
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.920055,33.405,33.363,0.104,1.534,15.709
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.906317,33.221,33.359,0.142,4.552,29.466
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.906170,33.223,33.359,0.102,4.459,29.614
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,2,0,Hardware: Legacy Flip,0,37.935941,16.144,16.679,0.164,1.006,16.496
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.953164,17.222,16.680,0.214,1.659,15.954
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.953394,33.339,33.358,0.059,1.618,15.728
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.939911,33.595,33.357,0.110,5.006,29.228
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.939762,33.592,33.357,0.105,4.964,29.379
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.969437,16.273,16.834,0.101,1.970,16.514
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.986610,17.174,16.517,0.216,1.835,15.858
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,37.986831,33.437,33.352,0.052,1.665,15.643
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,37.973744,33.833,33.353,0.109,5.353,28.748
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,37.973600,33.838,33.353,0.098,5.306,28.893
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.019828,33.218,33.367,0.207,1.692,16.007
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.020039,33.208,33.367,0.054,1.549,15.801
UE4Editor.exe,17260,0x00000174CC1E4D10,DXGI,0,0,0,Composed: Flip,0,38.006439,32.695,33.386,0.192,5.160,29.439
UE4Editor.exe,17260,0x0000017442C4B8C0,DXGI,0,0,0,Composed: Flip,0,38.006287,32.687,33.387,0.096,5.118,29.593
dwm.exe,1312,0x000001966A1B4DD0,DXGI,1,0,0,Hardware: Legacy Flip,0,38.053180,33.352,33.367,0.232,1.846,16.022
dwm.exe,1312,0x00000196671D9700,DXGI,1,0,0,Hardware: Legacy Flip,0,38.053417,33.378,33.366,0.052,1.676,15.789
